"","question","options","answer"
"18","可以将乙炔与氧气混放在一个房间。","A.对 B.错","错误"
"19","加热试管内物质时，管口应朝向自己，以便看清楚反应过程。","A.对 B.错","错误"
"20","对含有悬浮物质的溶液加热时，应加沸石或玻璃珠，以避免爆沸现象产生。","A.对 B.错","正确"
"21","因为乙醚长时间与空气接触可以形成羟乙基过氧化氢，成为一种具有猛烈爆炸性的物质，因此，在蒸馏乙醚时不能将液体蒸干。","A.对 B.错","正确"
"22","在进行萃取或洗涤操作时，为了防止物质高度浓缩而导致内部压力过大，产生爆炸，应该注意及时排出产生的气体。","A.对 B.错","正确"
"23","实验后剩余的金属钠，应用大量的水冲洗。","A.对 B.错","错误"
"24","在实验室进行有机合成时，放热反应不能在密闭的玻璃容器中进行;对反应物进行加热时，也不能将玻璃容器密闭。","A.对 B.错","正确"
"25","酒精灯内的酒精量最多可加九分满。","A.对 B.错","错误"
"26","酒精灯不再使用时，应立刻用嘴吹气灭火。","A.对 B.错","错误"
"27","给液体加热时，可以先开始加热，等接近沸腾时再加入沸石。","A.对 B.错","错误"
"28","取用强碱性试剂后的小勺应擦净后存放。","A.对 B.错","错误"
"29","实验室进行蒸馏操作时，对于爆炸性物质或不稳定物质，须小心地蒸馏直到剩余少量残渣。","A.对 B.错","错误"
"30","危险物质用惰性溶剂稀释后比较安全，该溶液若洒到布上，待溶剂蒸发变干后可以再使用。","A.对 B.错","错误"
"31","打开易挥发或浓酸、浓碱试剂的瓶塞时，瓶口不要对着脸部或其他人，宜在通风橱中进行。","A.对 B.错","正确"
"32","取用有毒、有恶臭味的试剂时，要在通风橱中操作；使用完毕后，将瓶塞蜡封，或用生料带将瓶口封严。","A.对 B.错","正确"
"33","干燥箱和恒温箱的使用温度不能超过最高允许温度。","A.对 B.错","正确"
"34","储存在冰箱内的所有容器，应当清楚地标明内装物品的品名、储存日期和储存者的姓名。","A.对 B.错","正确"
"35","为安全起见，平时应将低沸点溶剂保存于普通冰箱内以降低溶剂蒸汽压。","A.对 B.错","错误"
"36","通常有害药品经呼吸器官、消化器官或皮肤吸入体内，引起中毒。因此，我们切忌口尝、鼻嗅及用手触摸药品。","A.对 B.错","正确"
"37","使用强氧化剂时环境温度不宜过高，通风应良好，并不要与有机物或还原性物质共同使用。","A.对 B.错","正确"
"38","装有易燃液体的器皿可置于日光下。","A.对 B.错","错误"
"39","实验中的过量化学品应当返回其原来的试剂瓶中以免浪费。","A.对 B.错","错误"
"40","当发生强碱溅洒事故时，应用固体硼酸粉撒盖溅洒区，扫净并报告有关工作人员。","A.对 B.错","正确"
"41","处理有毒的气体、能产生蒸气的药品及有毒的有机溶剂，必须在通风厨内进行。","A.对 B.错","正确"
"42","打开氨水、硝酸、盐酸等药品瓶封口时，应先盖上湿布，用冷水冷却后再开瓶塞，以防溅出，尤其在夏天更应注意。","A.对 B.错","正确"
"43","如发现水泵漏水，可以不用切断电源，待实验完毕后再报修。","A.对 B.错","错误"
"44","实验过程中应尽量避免实验仪器在夜间无人看管的情况下连续运转，如果必须在夜间使用，应严格检查实验仪器的漏电保护装置及空气开关等工作正常。","A.对 B.错","正确"
"45","实验室中使用臭氧发生设备时，应保证管路气密性，并将尾气用硫代硫酸钠溶液吸收，以免室内臭氧浓度过高。","A.对 B.错","正确"
"46","对沾染过有毒物质的仪器和用具，实验完毕应立即采取适当方法处理以破坏或消除其毒性。","A.对 B.错","正确"
"47","实验过程中长时间使用恒温水浴锅时，应注意及时加水，避免干烧发生危险。","A.对 B.错","正确"
"48","箱式电阻炉的使用必须经过实验室管理员的同意，确保安全用电。","A.对 B.错","正确"
"49","烧杯、烧瓶及试管等加热时比较安全。","A.对 B.错","错误"
"50","吸滤瓶及一些厚壁玻璃容器，清洗后可直接放入温度较高的烘箱进行干燥。","A.对 B.错","错误"
"51","转速较低的离心机可以在工作时打开机盖观察。","A.对 B.错","错误"
"52","用活泼金属做除水实验，已观察不到金属的氧化反应，就可以将活泼金属丢弃。","A.对 B.错","错误"
"53","水银温度计破了以后正确的处理是：洒落出来的汞必须立即用滴管、毛刷收集起来，并用水覆盖（最好用甘油），然后在污染处撒上硫磺粉，无液体后（一般约一周时间）方可清扫。","A.对 B.错","正确"
"54","腐蚀和刺激性药品，如强酸、强碱、氨水、过氧化氢、冰醋酸等，取用时尽可能戴上橡皮手套和防护眼镜，倾倒时，切勿直对容器口俯视，吸取时，应该使用橡皮球。开启有毒气体容器时应戴防毒用具。禁止手直接拿取上述物品。","A.对 B.错","正确"
"55","对产生有毒气体的实验应在通风橱内进行。通过排风设备将毒气排到室外，以免污染室内空气。","A.对 B.错","错误"
"56","当水银仪器破损时，应尽量将洒落的水银收集起来，并在残迹处洒上硫磺粉。","A.对 B.错","正确"
"57","可以在木质或塑料等实验台上直接使用加热电炉。","A.对 B.错","错误"
"58","打开封闭管或紧密塞着的容器时，注意其内部是否有压力，容器口不得对人，避免发生喷液或爆炸事故。","A.对 B.错","正确"
"59","玻璃器具在使用前要仔细检查，避免使用有裂痕的仪器。特别用于减压、加压或加热操作的场合，更要认真进行检查。","A.对 B.错","正确"
"60","对固态酸、碱可用手直接操作。","A.对 B.错","错误"
"61","不应用双手同时触及电器，防止触电时电流通过心脏。","A.对 B.错","正确"
"62","做减压蒸馏时，如果没有梨形接收瓶，可用锥形瓶代替。","A.对 B.错","错误"
"63","电线接头裸露部分可用医用胶布等包裹绝缘。","A.对 B.错","错误"
"64","电加热设备必须有专人负责使用和监督，离开时要切断电源。","A.对 B.错","正确"
"65","用低沸点溶剂洗涤过的滤饼，可直接放入烘箱干燥。","A.对 B.错","错误"
"66","可以在纸上称量过氧化钠。","A.对 B.错","错误"
"67","当某些用石蜡封住瓶塞的装有挥发性物质或易受热分解放出气体的药品瓶子打不开时，可将瓶子放在火上烘烤。","A.对 B.错","错误"
"68","加热、回流易燃液体，为防止暴沸、喷溅，蒸馏中途不能添加沸石。","A.对 B.错","正确"
"69","危险化学品用完后就可以将安全标签撕下。","A.对 B.错","错误"
"70","在装置汞的仪器下面应放一搪瓷盘，以免不慎将汞洒在地上。","A.对 B.错","正确"
"71","溴（水）是腐蚀性极强的物质，必须在通风柜中操作，并注意安全。","A.对 B.错","正确"
"72","实验室可以存放大桶有机试剂。","A.对 B.错","错误"
"73","不得使用过期、未经检验和不合格的气体钢瓶。","A.对 B.错","正确"
"74","冷凝冷却系统上连接用的橡胶管必须定期检查更换，避免管子老化而引起漏水事故的发生。","A.对 B.错","正确"
"75","可以穿拖鞋或凉鞋进入化学实验室。","A.对 B.错","错误"
"76","盛装废弃危险化学品的容器和受废弃危险化学品污染的包装物，必须按照危险废物进行管理。","A.对 B.错","正确"
"77","产生有害废气的实验室必须按规定安装通风、排风设施，必要时须安装废气吸收系统，保持通风和空气新鲜。","A.对 B.错","正确"
"78","易燃、易爆气体和助燃气体（氧气等）可以混放在一起，并靠近热源和火源。","A.对 B.错","错误"
"79","走廊比较通风时，可存放危险化学品。","A.对 B.错","错误"
"80","对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须设置危险废物识别标志。","A.对 B.错","正确"
"81","收集、贮存危险废物，必须按照危险废物特性分类进行。禁止混合收集、贮存、运输、处置性质不相容而未经安全性处置的危险废物。","A.对 B.错","正确"
"82","公安部门负责危险化学品的公共安全管理，负责发放剧毒化学品购买凭证和准购证，负责审查核发剧毒化学品公路运输通行证，对危险化学品道路运输安全实施监督，并负责前述事项的监督检查。","A.对 B.错","正确"
"83","使用危险化学品单位应当制定本单位事故应急救援预案，配备应急救援人员和必要的应急救援器材、设备，并定期组织演练。","A.对 B.错","正确"
"84","领取剧毒物品时，需双人领用(其中一人必须是实验室的教师)。","A.对 B.错","正确"
"85","各实验室对所产生的化学废弃物必须要实行集中分类存放，贴好标签，然后送学校中转站，统一处置。","A.对 B.错","正确"
"86","各实验室在运送化学废弃物到各校区临时收集中转仓库之前，不得堆放在走廊、过道以及其它公共区域。","A.对 B.错","正确"
"87","严格执行剧毒品“五双”管理制度，即使实验在进行中，也必须在取出实验使用量后立即存入保险柜，做好记录，严防疏漏。","A.对 B.错","正确"
"88","使用和储存易燃、易爆物品的实验室应根据实际情况安装通风装置，严禁吸烟和使用明火，大楼和实验室应有“严禁烟火”的警示牌，配置必要的消防、冲淋、洗眼、报警和逃生设施。","A.对 B.错","正确"
"89","不能将乙醚等易挥发品放入普通冰箱，否则由于挥发气体不断溢出，而普通冰箱启动时有电火花出现，就有可能引起火灾。","A.对 B.错","正确"
"90","对高压气体钢瓶要分类保管，直立固定。严禁将氯气与氨气，氢气与氧气，乙炔与氧气混放在一个房间。","A.对 B.错","正确"
"91","实验室内的浓酸、浓碱如果不经处理，沿下水道流走，对管道会产生很强的腐蚀，又造成环境的污染。","A.对 B.错","正确"
"92","剧毒品在取出实验使用量后可以不立即存入保险柜。","A.对 B.错","错误"
"93","危险废物可以混入非危险废物中贮存或混入生活垃圾中贮存。","A.对 B.错","错误"
"94","实验中产生的废液、废物应分类集中处理，不得任意排放；对未知废料不得任意混合。酸、碱或有毒物品溅落时，应及时清理及除毒。","A.对 B.错","正确"
"95","酸、碱、盐水溶液使用后，经自来水稀释后可直接排入下水道。","A.对 B.错","错误"
"96","有机废物、浓酸或浓碱废液等倒入水槽，只要加大量的自来水将之冲稀即可。","A.对 B.错","错误"
"97","化学危险物品应当分类、分项存放，还原性试剂与氧化剂、酸与碱类腐蚀剂等不得混放，相互之间保持安全距离。","A.对 B.错","正确"
"98","遇火、遇潮容易燃烧、爆炸或产生有毒气体的化学危险品，不得在露天、潮湿、漏雨或低洼容易积水的地点存放。","A.对 B.错","正确"
"99","受阳光照射易燃烧、易爆炸或产生有毒气体的化学危险品和桶装、罐装等易燃液体、气体应当在阴凉通风的地点存放。","A.对 B.错","正确"
"100","凡涉及有害或有刺激性气体的实验应在通风柜内进行。","A.对 B.错","正确"
"101","实验室的废液可以放入同一个废液桶中进行处理。","A.对 B.错","错误"
"102","实验产生的废液（废酸、废碱等）和废弃固体物质可直接倒入下水道或普通垃圾桶。","A.对 B.错","错误"
"103","实验产生或剩余的易挥发物，可以倒入废液缸内。","A.对 B.错","错误"
"104","回收不便时可以将实验室废弃物掩埋处理。","A.对 B.错","错误"
"105","对有异味或挥发性的废液或废物要丢弃在远离人群的地方。","A.对 B.错","错误"
"106","存有易燃易爆物品的实验室禁止使用明火，如需加热可使用封闭式电炉、加热套或可加热磁力搅拌器。","A.对 B.错","正确"
"107","冰箱内禁止存放危险化学物品，如果确需存放，则必须注意容器绝对密封，严防泄漏。","A.对 B.错","正确"
"108","易燃、易爆物品要放在远离实验室的阴凉通风处，在实验室内保存的少量易燃易爆试剂要严格管理。","A.对 B.错","正确"
"109","易燃、易挥发的溶剂不得在敞口容器中加热，应选用水浴加热器，不得用明火直接加热。","A.对 B.错","正确"
"110","可以用普通的冰箱储藏易燃易爆的试剂。","A.对 B.错","错误"
"111","可以使用明火（如：电炉、煤气）或没有控温装置的加热设备直接加热有机溶剂，进行重结晶或溶液浓缩操作。","A.对 B.错","错误"
"112","过期的、不知名的固体化学药品可自行处理。","A.对 B.错","错误"
"113","乙醚、酒精、丙酮、二硫化碳、苯等有机溶剂易燃，实验室不得存放过多，切不可倒入下水道，以免集聚引起火灾。","A.对 B.错","正确"
"114","化学废液要用适当的容器盛装存放、定点保存，不需要分类收集。","A.对 B.错","错误"
"115","按国家有关规定处理有毒、带菌、腐蚀性的废气、废水和废物，集中统一处理放射性废物，谨防污染环境。","A.对 B.错","正确"
"116","需要加热的实验装置要选用安全的加热恒温设施，禁止使用电热毯、加热带等不安全的设备。","A.对 B.错","正确"
"117","各种气瓶的存放，必须远离明火、避免阳光直晒，搬运时不得碰撞。","A.对 B.错","正确"
"118","生产、储存和使用危险化学品的单位，应当在生产、储存和使用场所设置报警装置。","A.对 B.错","正确"
"119","发生剧毒化学品被盗、丢失、误售、误用后必须立即向当地公安部门报告而触犯刑律的，否则对负有责任的主管人员和其他直接责任人员依照刑法追究刑事责任。","A.对 B.错","正确"
"120","实验室走廊不能放木制桌子、柜子等易燃物品，但可以放金属柜、冰箱等。","A.对 B.错","错误"
"121","实验室内严禁吸烟、饮食，或把食具带进实验室。实验完毕，必须洗净双手。","A.对 B.错","正确"
"122","禁止穿拖鞋、背心、短裤（裙）进入实验室，高跟鞋可以进实验室。","A.对 B.错","错误"
"123","可以单独使用剧毒物品。","A.对 B.错","错误"
"124","学生在使用剧毒物品时，必须由教师或实验室工作人员在场指导。","A.对 B.错","正确"
"125","对剧毒品采取必要的保安措施，防止剧毒化学品被盗、丢失或者误售、误用；发现剧毒化学品被盗、丢失或者误售、误用时，必须立即向当地公安部门报告。","A.对 B.错","正确"
"126","实验室内的汞蒸气会造成人员慢性重毒，为了减少汞液面的蒸发，可在汞液面上覆盖甘油。","A.对 B.错","正确"
"127","对于实验室内溅落的汞物体，应尽量捡拾起来放好，然后洒上硫磺、多硫化钙等使汞生成不挥发的难溶盐。","A.对 B.错","正确"
"128","强酸溅入眼内时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球。","A.对 B.错","正确"
"129","眼部碱灼伤时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球，然后可用2%～3%硼酸溶液进一步冲洗。","A.对 B.错","正确"
"130","皮肤被黄磷灼伤禁用含油敷料。","A.对 B.错","正确"
"131","酚灼伤皮肤时，应立即脱掉被污染衣物，用10%酒精反复擦拭，再用大量清水冲洗，直至无酚味为止，然后用饱和硫酸钠湿敷。","A.对 B.错","正确"
"132","皮肤被黄磷灼时，应及时脱去污染的衣物，并立即用清水(由五氧化二磷、五硫化磷、五氯化磷引起的灼伤禁用水洗)或5%硫酸铜溶液或3%过氧化氢溶液冲洗，再用5%碳酸氢钠溶液冲洗，中和所形成的磷酸，然后用1：5000高锰酸钾溶液湿敷，或用2%硫酸铜溶液湿敷，以使皮肤上残存的黄磷颗粒形成磷化铜。","A.对 B.错","正确"
"133","氢氟酸灼伤皮肤后，先立即脱光去污染的衣物，用大量流动清水彻底冲洗后，继用肥皂水或2%～5%碳酸氢钠冲洗，再用葡萄糖酸钙软膏涂敷按摩，然后再涂以33%氧化镁甘油糊剂、维生素AD或可的松软膏等。","A.对 B.错","正确"
"134","误服强酸导致消化道烧灼痛，为防止进一步加重损伤，不能催吐，可口服牛奶、鸡蛋清、植物油等。","A.对 B.错","正确"
"135","发生强碱烧伤，应立即去除残留强碱，再以流动清水冲洗；若消化道被烧伤可适当服用一些牛奶、蛋清。","A.对 B.错","正确"
"136","凡进行有危险性的实验，应先检查防护措施，确证防护妥当后，才可进行实验。","A.对 B.错","正确"
"137","实验中，进行高温操作时，必须佩戴防高温手套。","A.对 B.错","正确"
"138","当有人呼吸系统中毒时，应迅速使中毒者离开现场，移到通风良好的环境，令中毒者呼吸新鲜空气，情况严重者应及时送医院治疗。","A.对 B.错","正确"
"139","眼睛溅入化学试剂时，应以大量清水冲洗，然后送医院诊治。","A.对 B.错","正确"
"140","一氧化碳泄漏，应先施行通风，以驱散一氧化碳气体，并切断一氧化碳泄漏源。","A.对 B.错","正确"
"141","有机溶剂只会经口鼻进入人体，只要正确的使用呼吸防护面具，就可以有效防止危害健康。","A.对 B.错","错误"
"142","通风控制措施就是借助于有效的通风，使气体、蒸气或粉尘的浓度低于最高容许浓度。","A.对 B.错","正确"
"143","由于金属络合剂能与毒物中的金属离子形成稳定的化合物，随尿液排出体外，故发生金属及其盐类中毒时，可采用各种金属络合剂解毒。","A.对 B.错","正确"
"144","CO急性中毒应立即吸氧，以缓解机体缺氧、排出毒物。","A.对 B.错","正确"
"145","做危险化学实验时应配带各种眼镜进行防护，包括戴隐形眼镜。","A.对 B.错","错误"
"146","急性中毒发生时，救护人员在抢救前要做好自身呼吸系统和皮肤的防护，以免自身中毒、使事故扩大。","A.对 B.错","正确"
"147","中毒事故中救护人员进入现场，应先抢救中毒者，再采取措施切断毒物来源。","A.对 B.错","错误"
"148","碱灼伤后应立即用大量水洗，再以1%-2%硼酸液洗，最后用水洗。","A.对 B.错","正确"
"149","发生危险化学品事故后，应该向上风方向疏散。","A.对 B.错","正确"
"150","含碱性洗涤剂的水可以清洗掉水果蔬菜表面的农药。","A.对 B.错","正确"
"151","有机溶剂能穿过皮肤进入人体，应避免直接与皮肤接触。","A.对 B.错","正确"
"152","溴灼伤皮肤，立即用乙醇洗涤，然后用水冲净，涂上甘油或烫伤油膏。","A.对 B.错","正确"
"153","电路或电器着火时，使用二氧化碳灭火器灭火。","A.对 B.错","正确"
"154","电路或电器着火时，可用泡沫灭火器灭火。","A.对 B.错","错误"
"155","当酸或碱溅入眼睛时，不必采取应急处理，只要立即送附近医院救治。","A.对 B.错","错误"
"156","干粉灭火剂是扑救精密仪器火灾的最佳选择。","A.对 B.错","错误"
"157","实验室发现可燃气体泄漏，要迅速切断电源，打开门窗。","A.对 B.错","错误"
"158","当被烧伤时，正确的急救方法应该是以最快的速度用冷水冲洗烧伤部位。","A.对 B.错","正确"
"159","皮肤烧伤后如有水泡，应及时将水泡刺破，以利于其恢复。","A.对 B.错","错误"
"160","身上着火后，应迅速用灭火器灭火。","A.对 B.错","错误"
"161","创伤伤口内有玻璃碎片等大块异物时，应在去医院救治前尽快取出。","A.对 B.错","错误"
"162","有毒化学药品溅在皮肤上时，可用乙醇等有机溶剂擦洗。","A.对 B.错","错误"
"163","对于重金属盐中毒者，可先喝一杯含有几克MgSO4的水溶液，然后立即就医。","A.对 B.错","正确"
"164","砷的解毒剂是二巯基丙醇，由肌肉注射即可解毒。","A.对 B.错","正确"
"165","误吸入煤气等有毒气体时，应立即在室外呼吸新鲜空气。","A.对 B.错","正确"
"166","误吸入溴蒸气、氯气等有毒气体时，立即吸入少量酒精和乙醚的混合蒸气，以便解毒，同时应到室外呼吸新鲜空气，再送医院。","A.对 B.错","正确"
"167","误食了有毒化学品，要吃适量催吐剂尽快将其吐出来。","A.对 B.错","错误"
"168","使用剧毒药品时应该配备个人防护用具，做好应急援救预案。","A.对 B.错","正确"
"169","万一发生化学品泄漏事故，可用防毒面具、防毒口罩和捂湿毛巾等方法防止通过呼吸道造成伤害。","A.对 B.错","正确"
"170","为避免皮肤受到化学品伤害，可通过穿防毒衣，戴防护手套，穿雨衣、雨鞋等方法进行防护。","A.对 B.错","正确"
"171","进行化学类实验，应带防护镜。","A.对 B.错","正确"
"172","发生化学事故后，应向上风或侧上风方向迅速撤离现场。","A.对 B.错","正确"
"173","发生化学事故后，对有毒的衣物应及时进行无毒化处理。","A.对 B.错","正确"
"174","皮肤接触活泼金属(如钾、钠)，可用大量水冲洗。","A.对 B.错","错误"
"175","化学泡沫灭火器可扑救一般油质品、油脂等的火灾，但不能扑救醇、酯、醚、酮等引起的火灾和带电设备的火灾。","A.对 B.错","正确"
"176","危险化学品，包括爆炸品、压缩气体和液化气体、易燃液体、易燃固体、自燃物品和遇湿易燃物品、氧化剂和有机过氧化物、有毒品和腐蚀品等。","A.对 B.错","正确"
"177","毒物在科研生产中以气体、蒸气、烟、尘、雾等形态存在，其中气体、蒸气为分子状态，可直接进入人体肺泡。","A.对 B.错","正确"
"178","铅被加热到400℃以上就有大量铅蒸汽逸出，在空气中迅速氧化为氧化铅，形成烟尘，易被人体吸入，造成铅中毒。","A.对 B.错","正确"
"179","轻度铅中毒症状为头晕、头痛、失眠、无力、腹痛、腹胀、便秘等。","A.对 B.错","正确"
"180","Hg通常经过皮肤和消化道进入人体。","A.对 B.错","错误"
"181","Hg中毒会引起失眠、多梦、抑郁、胸闷、心悸、多汗、恶心、牙龈出血。","A.对 B.错","正确"
"182","燃点越低的物品越安全。","A.对 B.错","错误"
"183","化学爆炸品的主要特点是:反应速度极快，放出大量的热，产生大量的气体，只有上述三者都同时具备的化学反应才能发生爆炸。","A.对 B.错","正确"
"184","液体表面的蒸汽与空气形成可燃气体，遇到火种时，发生一闪即灭的现象，可发生如此现象的最低温度称为闪点。","A.对 B.错","正确"
"185","一般将闪点在25°C以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。","A.对 B.错","正确"
"186","对于一些吸入或食入少量即能中毒至死的化学试剂，生物试验中致死量（LD50）在50mg/kg以下的称为剧毒化学试剂。","A.对 B.错","正确"
"187","乙炔气钢瓶的规定涂色为白色、氯气钢瓶为黄色、氢气钢瓶为绿色、氟化氢钢瓶为灰色、液氨钢瓶为黄色。","A.对 B.错","正确"
"188","从消防观点来说，液体闪点就是可能引起火灾的最低温度。","A.对 B.错","正确"
"189","半数致死量(LD50)又称为半数致死浓度，是指药物能引起一群实验动物50%死亡所需的剂量或浓度，用于药物的毒性分级，单位为mg/kg。","A.对 B.错","正确"
"190","CO经呼吸道进入血液后，立即与血红蛋白结合形成碳氧血红蛋白，CO与血红蛋白的亲和力比氧大，致使血携氧能力下降，同时碳氧血红蛋白的解离速度却比氧合血红蛋白的解离慢3600倍，且碳氧血红蛋白的存在影响氧合血红蛋白的解离，阻碍了氧的释放，导致低氧血症，引起组织缺氧。","A.对 B.错","正确"
"191","当可燃气体、可燃液体的蒸气（或可燃粉尘）在空气中达到一定浓度时，遇到火源就会发生爆炸。这个能够发生爆炸的浓度范围，叫做爆炸极限。","A.对 B.错","正确"
"192","氢气的爆炸极限是：4％～75％。","A.对 B.错","正确"
"193","乙烯的爆炸极限是：3.1％～32％。","A.对 B.错","正确"
"194","乙炔的爆炸极限是：2.2％～81％。","A.对 B.错","正确"
"195","苯的爆炸极限是：1.4％～7.1％。","A.对 B.错","正确"
"196","乙醚的爆炸极限是：1.9％～48％。","A.对 B.错","正确"
"197","丙酮的爆炸极限是：3％～11％。","A.对 B.错","正确"
"198","乙醇的爆炸极限是：4.3％～19％。","A.对 B.错","正确"
"199","因处理废液费用很高，应将无毒无害试剂与有毒有害试剂分开处理，例如稀HAc、H2SO4、HCL、NaOH、KOH等溶液可进行中和处理。","A.对 B.错","正确"
"200","安装在危险品仓库的灯具应该是防爆型的。","A.对 B.错","正确"
"201","实验室毒物进入人体有三条途径即皮肤、消化道和呼吸道。实验室防毒应加强个人防护。","A.对 B.错","正确"
"202","实验室的药品和设备一定要标明其名称，以免误用。","A.对 B.错","正确"
"203","比较常见的引起呼吸道中毒的物质，一般是易挥发的有毒有机溶剂（如乙醚、三氯甲烷、苯等）或化学反应所产生的有毒气体（如氰化氢、氯气、一氧化碳等）。","A.对 B.错","正确"
"204","重金属如铅、镉、汞等对人体有害。","A.对 B.错","正确"
"205","汞剂、苯胺类、硝基苯等可通过皮肤或粘膜吸收而使人中毒。","A.对 B.错","正确"
"206","氮的氧化物、二氧化硫、三氧化硫、挥发性酸类、氨水对皮肤粘膜和眼、鼻、喉粘膜都有很强的刺激性。","A.对 B.错","正确"
"207","乙炔金属盐、环氧乙烷、偶氮氧化物等都属于易燃和易爆的化学试剂，处理时应该特别小心。","A.对 B.错","正确"
"208","可以在敞口容器中存放易爆物质。","A.对 B.错","错误"
"209","金属钠、钾可以存放在水中，以避免与空气接触。","A.对 B.错","错误"
"210","醋酸蒸汽与空气混合不会在热源的诱发下引起爆炸。","A.对 B.错","错误"
"211","久藏的乙醚因可能存在过氧化物，为了爆炸，在蒸发时必须有人值守，不能完全蒸干。","A.对 B.错","正确"
"212","在使用硝化纤维、苦味酸、三硝基甲苯、三硝基苯等物质时，绝不能直接加热或撞击，还要注意周围不要有明火。","A.对 B.错","正确"
"213","H2O2、AgNO3、AgCl、KMnO4、草酸见光易分解，应置于棕色瓶内，放在阴凉避光处。","A.对 B.错","正确"
"214","SnCl2、FeSO4、Na2SO3与空气接触易逐渐被氧化，须密封保存。","A.对 B.错","正确"
"215","Na、K、电石、金属氢化物不能与水及空气接触，须密闭保存。","A.对 B.错","正确"
"216","NH4NO3受热后易分解，但放出的气体无害。","A.对 B.错","错误"
"217","磷化物（Ca3P2、Zn3P2等）有毒，遇水生成H3P，其在空气中能自燃。","A.对 B.错","正确"
"218","水浴加热的上限温度是100℃，油浴加热的上限温度是200℃，用硅油作介质时可加热到300℃。","A.对 B.错","错误"
"219","塑料制品在烘干过程中温度不能超过100℃，植物样品在烘干过程中不超过70℃。","A.对 B.错","错误"
"220","铬化合物中六价Cr毒性最大，有强刺激性，引起蛋白变性，干扰酶系统。","A.对 B.错","正确"
"221","Hg、As、Pb等急性中毒会引起牙龈出血、牙齿松动、恶心、呕吐、腹痛、腹泻等症状。","A.对 B.错","正确"
"222","HCN进入机体，抑制呼吸酶作用，造成细胞内窒息，从而引起组织中毒性缺氧，全身性中毒症状。","A.对 B.错","正确"
"223","将醇液直接加入到室温以下的硫酸-硝酸的混酸中不会引起爆炸，而加入到未冷却的硫酸-硝酸的混酸中会引起爆炸。","A.对 B.错","错误"
"224","常用的化学试剂如：苯、乙醚、甲苯、汽油、丙酮、甲醇和煤油均属于易燃物质。","A.对 B.错","正确"
"225","汞、苯、铬酸盐和氰化物属于对人体具有极度危害的物质。","A.对 B.错","正确"
"226","过氧化物、高氯酸盐、叠氮铅、乙炔铜、三硝基甲苯等属于易爆物质，受震或受热可发生热爆炸。","A.对 B.错","正确"
"227","在使用化学品的工作场所吸烟，可能会造成火灾和爆炸，但不会中毒。","A.对 B.错","错误"
"228","用泡沫灭火剂扑灭油罐火灾时，如果火势很大，有时并不能将火完全扑灭，会发生闷燃引起爆炸。","A.对 B.错","正确"
"229","室温下汞的蒸汽压为0.0012mmHg柱，比安全浓度标准大100倍。","A.对 B.错","正确"
"230","据统计，火灾中死亡的人有80%以上属于烟气窒息致死。","A.对 B.错","正确"
