"","question","options","answer"
"19","当皮肤受到放射源微量污染时，可用肥皂（或EDTA-Na2肥皂）、软毛刷、温水洗刷，到降至污染控制水平以下为止；如果皮肤严重污染，应立即用肥皂、软毛刷清洗（切勿擦破皮肤），然后根据核素的性质选择合适的去污剂。","A.对 B.错","正确"
"20","α衰变放出带二个正电的氦核，对它的防护是防止它进入体内，即内照射防护。","A.对 B.错","正确"
"21","辐射事故分为特别重大辐射事故、重大辐射事故、较大辐射事故和一般辐射事故四个等级。","A.对 B.错","正确"
"22","核素自发地蜕变为另一种核素，同时放出各种射线，这种现象称作放射性衰变。","A.对 B.错","正确"
"23","核衰变是原子核自发产生的变化，放射性衰变服从指数规律。","A.对 B.错","正确"
"24","放射性实验室允许带与实验无关的人员进实验室。","A.对 B.错","错误"
"25","Ⅰ类放射源为极高危险源。在没有防护情况下，接触这类源几分钟到1小时就可致人死亡。","A.对 B.错","正确"
"26","Ⅱ类放射源为高危险源。在没有防护情况下，接触这类源几小时至几天可致人死亡。","A.对 B.错","正确"
"27","Ⅲ类放射源为危险源。在没有防护情况下，接触这类源几小时就可对人造成永久性损伤，接触几天至几周也可致人死亡。","A.对 B.错","正确"
"28","Ⅳ类放射源为低危险源。基本不会对人造成永久性损伤，但对长时间、近距离接触这些放射源的人可能造成可恢复的临时性损伤。","A.对 B.错","正确"
"29","Ⅴ类放射源为极低危险源。不会对人造成永久性损伤。","A.对 B.错","正确"
"30","内照射指放射性物质呼吸道吸入、消化道进入、皮肤伤口渗入等途径进入体内，造成放出的射线及化学毒性对人体器官的双重损伤。","A.对 B.错","正确"
"31","外照射是射线照射人体后只造成对人体组织的损伤。例如γ射线照射造成体内深部损伤，β射线伤害皮肤及眼睛的晶状体。","A.对 B.错","正确"
"32","外照射的主要防护方式是：时间防护、距离防护和屏蔽防护措施。","A.对 B.错","正确"
"33","放射源、同位素试剂和射线装置购买，可以直接委托学校采购部门进行采购。","A.对 B.错","错误"
"34","V类放射源的下限活度值为该种核素的豁免活度。","A.对 B.错","正确"
"35","同位素试剂是非密封型放射源。","A.对 B.错","正确"
"36","C-14、P-32、H-3、I-125、S-35等是常用的同位素试剂。","A.对 B.错","正确"
"37","放射性物质在体外进行的照射称为外照射，放射性物质在体内进行的照射称为内照射。","A.对 B.错","正确"
"38","由于现代科学技术的发展,人们已经有办法控制放射性衰变了。","A.对 B.错","错误"
"39","在正常运行情况下超过个人剂量限值的照射是不可接受的。","A.对 B.错","正确"
"40","每一放射工作人员必须进行就业前医学检查和就业后定期医学检查。","A.对 B.错","正确"
"41","职业照射个人剂量限值适用于医疗照射。","A.对 B.错","错误"
"42","在控制区内只要严格按规定穿戴辐射防护用品,就不会受到辐射照射。","A.对 B.错","错误"
"43","空气污染不仅有内照射风险，而且还有外照射风险。","A.对 B.错","正确"
"44","高辐射区的门应上锁关闭，钥匙由辐射防护部门控制。","A.对 B.错","正确"
"45","每个人都不超过个人剂量限值，就是对辐射防护原则最好的遵守。","A.对 B.错","错误"
"46","工作人员停堆后进入反应堆厂房，无需考虑中子防护。","A.对 B.错","正确"
"47","奇奇核比偶偶核稳定。","A.对 B.错","错误"
"48","原子核的质量等于组成原子核的中子和质子质量之和。","A.对 B.错","错误"
"49","放射性衰变符合指数衰减规律。","A.对 B.错","正确"
"50","β粒子的能谱是连续的。","A.对 B.错","正确"
"51","一种粒子与某种原子核的核反应反应道只有一个。","A.对 B.错","错误"
"52","地球上的天然辐射源都是来自宇宙射线。","A.对 B.错","正确"
"53","反应堆正常运行时的主要辐射有γ辐射和中子辐射。","A.对 B.错","正确"
"54","用反应堆生产放射性同位素，必须使用远距离操作系统从反应堆的辐照管道或辐照室提取同位素样品盒。","A.对 B.错","正确"
"55","加速器在生产缺中子同位素方面具有优势。","A.对 B.错","正确"
"56","中子活化分析不可进行多个元素同时分析。","A.对 B.错","错误"
"57","正电子发射计算机断层扫描（PET）是目前所有放射性显像技术中分辨率最高的。","A.对 B.错","正确"
"58","非密封源在辐射治疗中的应用最为广泛。","A.对 B.错","错误"
"59","在放射免疫分析中，用于标记抗原的放射性核素主要有125I和32P。","A.对 B.错","正确"
"60","核仪表不会破坏测量对象。","A.对 B.错","正确"
"61","γ射线的穿透能力强，因此可用作工业探伤。","A.对 B.错","正确"
"62","注射放射性药物后的病人可以随意走动。","A.对 B.错","错误"
"63","铀、钍矿可分别析出放射性气体氡和钍射气，因此要引起注意。","A.对 B.错","正确"
"64","铀浓缩是指用人工方法使铀－235丰度增加的过程。","A.对 B.错","正确"
"65","乏燃料不再具有放射性。","A.对 B.错","错误"
"66","压水堆核电站最显著的特点是堆芯功率密度大。","A.对 B.错","正确"
"67","高温气冷堆使用气体作为冷却剂，慢化剂则使用石墨","A.对 B.错","正确"
"68","重水堆比轻水堆更能充分利用天然铀资源","A.对 B.错","正确"
"69","辐射防护只是为了保护从事放射工作人员的安全。","A.对 B.错","错误"
"70","在全球人口集体剂量估算值中，天然辐射所占的份额最大。","A.对 B.错","正确"
"71","喷气飞机飞行过程中机组人员所受的天然照射是一种持续照射，因而不是职业照射","A.对 B.错","错误"
"72","辐射对人体的损害主要是对脱氧核糖核酸（DNA）分子的作用而使细胞受到损伤，导致各种健康危害。","A.对 B.错","正确"
"73","就辐射危害程度来说，外照射时γ>β>α，内照射时，则α>β>γ。","A.对 B.错","正确"
"74","淋巴组织和性腺对辐射的敏感性属于高度敏感。","A.对 B.错","正确"
"75","辐射权重因子同辐射种类、能量以及受照射的器官，组织都有关。","A.对 B.错","错误"
"76","对于核技术应用项目，本底调查范围一般以设施为中心，半径几十公里范围内。","A.对 B.错","错误"
"77","放射性流出物可以做到零排放。","A.对 B.错","错误"
"78","铀矿采冶作业中，主要放射性流出物是氡。","A.对 B.错","正确"
"79","室内氡是重要的致癌因素。","A.对 B.错","正确"
"80","实验室内可以使用闸刀开关、木质配电板和花线","A.对 B.错","错误"
"81","购买剧毒药品需经过环保局审批","A.对 B.错","错误"
"82","由于行为人的过失引起火灾，造成严重后果，危害公共安全的行为，构成失火罪。","A.对 B.错","正确"
"83","金属梯子不适于有静电的工作场合。","A.对 B.错","错误"
"84","放射性实验允许带与实验无关的人员进实验室。","A.对 B.错","错误"
"85","I类放射源为极高危险源。在没有防护的情况下，接触这类险源几分钟到一小时就可以致人死亡。","A.对 B.错","正确"
"86","V类放射源为极低危险源。不会对人造成永久损伤。","A.对 B.错","正确"
"87","C-14、P-32、I-125、S-35等是常用的同位素试剂。","A.对 B.错","正确"
"88","参照国际原子能机构的有关规定，国务院环境保护部门按照放射源对人体健康和环境的潜在危害程度，从高到低将放射源分为五类。","A.对 B.错","正确"
"89","实验过程中暂时不用的放射源不能随便放置，必须放在专门的防护区域。","A.对 B.错","正确"
"90","涉及单位产生的放射性废源废物可以直接排到下水道或混装到普通垃圾中。","A.对 B.错","错误"
"91","放射装置、辐射工作场所须安装防盗、防火、防漏设施，保证放射性同位素和射线装置的使用安全。辐射工作场所的入口应防止辐射警示标志和工作信号。","A.对 B.错","正确"
"92","辐射源是指可以通过发射电离辐射或释放放射性物质而引起辐射照射额一切物质或实体。","A.对 B.错","正确"
"93","天然放射源的来源是核武器生产和试验。","A.对 B.错","错误"
"94","内照射的特点是当机体离开辐射场后，就不再受照射。","A.对 B.错","错误"
"95","照成内照射的原因是体外的电离辐射照射人体造成损伤。","A.对 B.错","错误"
"96","III类放射源丢失、被盗、失控，属于较大辐射事故。","A.对 B.错","正确"
"97","放射性同位素和射线装置失控导致3人以上急性死亡，属于一般辐射事故。","A.对 B.错","错误"
"98","各种放射性核素有平方衰减规律。","A.对 B.错","错误"
"99","外照射防护通常可采用尽量缩短受照射时间，尽量增大与放射源的距离，在人和辐射源之间加屏蔽物。","A.对 B.错","正确"
"100","用布覆盖辐射源是减少电离辐射的方法。","A.对 B.错","错误"
"101","对中子射线的屏蔽可选用含氢量较高的材料。","A.对 B.错","正确"
"102","对Y、X射线的屏蔽可选用高原子序的材料。","A.对 B.错","正确"
"103","外照射是照射人体后只对人体组织的损伤。","A.对 B.错","正确"
"104","实验室安全管理实行校、（院）系、实验室三级管理。","A.对 B.错","正确"
"105","学校对实验化学废物的处理的工作原则是分类收集、定点存放、专人管理、集中处理。","A.对 B.错","正确"
"106","进行危险性实验时，应单人操作。","A.对 B.错","错误"
"107","对实验室安全检查的重点只是清除污染和废弃物处置情况。","A.对 B.错","错误"
"108","在使用设备时，如果发现设备工作异常，应停机并报告相关负责人员。","A.对 B.错","正确"
"109","电气设备的外壳应有绝缘的防护措施。","A.对 B.错","错误"
"110","工作地点相对湿度大于75%时，属于不危险的环境。","A.对 B.错","错误"
"111","测量绝缘电阻可用兆欧表。","A.对 B.错","正确"
"112","泡沫灭火器不适于扑灭电器火灾。","A.对 B.错","正确"
"113","可以对辐射源进行屏蔽来减少电磁辐射。","A.对 B.错","正确"
"114","放射性实验需要采取的正确措施是：","A．佩戴个人辐射剂量计，可以知道当天接受的剂量和累积剂量，并将其控制在安全水平下 B．实验时必须带好专用的防护手套、口罩、穿工作服，实验完毕，立即洗手或洗澡。 C．实验时，力求迅速、熟练，尽量减少被辐射的时间，并应尽可能的利用夹具、机械手来操作，以便远离辐射源，同时应设置隔离屏蔽 D．以上都是","D
"
"115","在辐射防护中，主要是针对哪四种辐射?","A．α粒子、β粒子、γ（X）射线和中子 B．α粒子、β粒子、γ（X）射线和电磁波 C．电磁波、β粒子、γ（X）射线和中子 D．α粒子、电磁波、γ（X）射线和中子","A
"
"116","对γ（χ、β）源、中子源的防护主要是：","A．内照射防护 B．外照射防护 C．不用防护","B
"
"117","对α源的防护主要是：","A．内照射防护 B．外照射防护 C．不用防护","A
"
"118","对β射线的屏蔽可选用：","A．低原子序数的材料（铝、塑料或有机玻璃等） B．高原子序数的材料（铅、混凝土等） C．含氢量较高或含硼的材料（水、石蜡、硼砂等）","A
"
"119","对γ．χ射线的屏蔽可选用：","A．低原子序数的材料（铝、塑料或有机玻璃等） B．高原子序数的材料（铅、混凝土等） C．含氢量较高或含硼的材料（水、石蜡、硼砂等）","B
"
"120","对中子射线的屏蔽可选用：","A．低原子序数的材料（铝、塑料或有机玻璃等） B．高原子序数的材料（铅。混凝土等） C．含氢量较高或含硼的材料（水、石蜡、硼砂等）","C
"
"121","以下哪个不是减少电磁辐射的方法：","A．用布覆盖辐射源 B．对辐射源进行屏蔽 C．辐射源远离敏感物体或人 D．尽量缩短处于辐射区的时间","A
"
"122","外照射防护通常可采用：","A．尽量缩短受照射时间，尽量增大与辐射源的距离，在人和辐射源之间加屏蔽物 B．尽可能地隔断放射性物质进入人体的各种途径 C．防止放射性物质经呼吸道进入人体内 D．防止放射性物质经口腔进入人体内","A
"
"123","氡对人的健康危害极大,当它和其衍生物通过呼吸道进入人体后,往往长期滞留在人体的整个呼吸道内,是导致人体罹患肺癌及其他呼吸系统疾病的重要原因之一。应采取：","A．使用经过环保认证的绿色材料（建筑、装饰） B．将窗户、门和通风口打开 C．使用空气净化器和粒状活性炭","A
"
"124","辐射源是指","A．放射源 B．放射性同位素 C．可以通过发射电离辐射或释放放射性物质而引起辐射照射的一切物质或实体","C
"
"125","天然放射性的来源是：","A．核武器生产和试验 B．核能源生产 C．核技术应用 D．陆生放射性核素、宇生放射性核素","D
"
"126","密封放射源是指：","A．除研究堆和动力堆核燃料循环范畴的材料以外，永久密封在容器中或者有严密包层并呈固态的放射性材料 B．能发射射线的所有物质 C．非密封在包壳里或者紧密地固结在覆盖层里的放射性物质 D．未密封的放射性物质，当简单封装后就是密封放射源","A
"
"127","内照射特点是：","A．即使不再进行放射性物质的操作，已经进入体内的放射性核素仍然在体内产生有害影响 B．当机体离开辐射场后，就不再受照射 C．只有当机体处于辐射场中时，才会引起辐射损伤","A
"
"128","造成内照射的原因：","A．是因为吸入放射性物质污染的空气，饮用放射性物质污染的水，吃了放射性物质污染的食物，或者放射性物质从皮肤、伤口进入体内。 B．体外的电离辐射照射人体造成损伤。 C．辐射损伤主要来自γ和X射线、中子，其次是β射线。","A
"
"129","Ⅲ类放射源丢失、被盗、失控，属于什么等级的辐射事故？","A．一般辐射事故 B．较大辐射事故 C．重大辐射事故 D．特别重大辐射事故","B
"
"130","放射性同位素和射线装置失控导致3人以上（含3人）急性死亡，属于什么等级的辐射事故？","A．一般辐射事故 B．重大辐射事故 C．较大辐射事故 D．特别重大辐射事故","D
"
"131","各种放射性核素有哪种共同的衰变规律？","A．指数衰减规律 B．线性衰减规律 C．平方衰减规律","A
"
"132","氡（α衰变）半衰期为4天，经过8天后，其剩余量为多少？","A．1/2 B．1/4 C．1/8 D．1/16","B
"
"133","在人类的生活环境中,在（）会受到放射性的照射。","A．从事放射性工作时才 B．进行放射性治疗时才 C．任何地方和任何时刻都 D．核设施场所才","C
"
"134","下面对个人剂量限值说法哪个正确？","A．超过剂量限值是危险的，低于剂量限值就是安全的。 B．剂量限值可以用于工作安排，也可以用于设计的依据。 C．剂量限值是不可接受剂量的下限。 D．剂量限值是允许接受剂量范围的上限。","C
"
"135","工作人员控制区，个人剂量计应佩戴在工作人员的（）部位","A．右胸 B．左胸 C．头部 D．裤兜","B
"
"136","安全色中蓝色表示（）","A．禁止、停止、消防和危险 B．注意、警告 C．指令、必须遵守 D．通行、安全和提供信息","C
"
"137","以下对除污染的基本原则的描述错误的是：","A．根据污染核素的辐射强度选择适当的去污剂和去污方法 B．尽早清除以防污染扩散 C．防止去污过程中使污染面扩大 D．除污后要做安全监测，控制在规定值以下","A
"
"138","某单位放射性核素的等效年用量为2．13×1011Bq，那么该单位为：","A．第一类 B．第二类 C．第三类 D．第四类","B
"
"139","放射工作单位应当安排本单位的放射工作人员接受个人剂量监测，外照射个人剂量的监测周期一般为（）天，最长不应超过（）天。","A：30，90 B：60，90 C：90，90 D：60，120","A
"
"140","放射工作单位应当组织上岗后的放射工作人员定期进行职业健康检查，两次检查的时间间隔不应超过（）年。","A：2 B：3 C：4 D：1","A
"
"141","吸收剂量的SI单位是","A．伦琴(R) B．戈瑞(Gy) C．拉得(rad) D．希沃特(Sv)","B
"
"142","以下方法不能减少电磁辐射的是（）。","A．用布覆盖辐射源 B．对辐射源进行屏蔽 C．辐射源远离敏感物体或人 D．尽量缩短处于辐射区的时间","A
"
"143","在相同吸收剂量的情况下，对人体伤害最大的射线种类是","A．X射线 B．γ射线 C．中子射线 D．β射线","C
"
"144","GB18871-2002标准规定：公众中有关关键人群组的成员所受到的平均年有效剂量不应超过","A．5rem B．15mSv C．50mSv D．1mSv","D
"
"145","Ir192射线通过水泥墙后，照射率衰减到200mR/h，为使照射率衰减到10mR/h以下，至少还应覆盖多厚的铅板？（半价层厚度为0．12cm）","A．10．4mm B．2．6mm C．20．8mm D．6．2mm","D
"
"146","离源200mm处的照射率为100mR/h，照射率为2mR/h辐射区边界标记离源的距离约为","A．0．7m B．1．4m C．2．8m D．1m","B
"
"147","射线的生物效应，与下列什么因素有关？","A．射线的性质和能量 B．射线的照射量 C．肌体的吸收剂量 D．以上都是","D
"
"148","热释光剂量计用于","A．工作场所辐射监测 B．个人剂量监测 C．内照射监测 D．A和B","B
"
"149","下列有关照射量的叙述，正确的是","A．辐射防护常用辐射量的物理量 B．当量计量的剂量单位 C．只适用于X射线和γ射线 D．以上都是","C
"
"150","辐射损伤随机效应的特点是","A．效应的发生率与剂量无关 B．剂量越大效应越严重 C．只要限制剂量便可以限制效应发生D．B和C","A
"
"151","辐射损伤确定性效应的特点是","A．效应的发生率与剂量无关 B．剂量越大效应越严重 C．只要限制剂量便可以限制效应发生D．B和C","D
"
"152","GB18771-2002关于应急照射的叙述，哪一条是错误的","A．应急照射事先必须周密计划； B．计划执行前必须履行相应的批准程序； C．应急照射的剂量水平应在标准范围内； D．经受应急照射后的人员不应再从事放射工作。","D
"
"153","外照射防护的三个基本要素是","A．时间防护 B．距离防护 C．屏蔽防护 D．以上都是","D
"
"154","1896年，法国科学家（）发现天然放射现象，成为人类第一次观察到核变化的情况，通常人们把这一重大发现看成是核物理的开端。","A．卢瑟福 B．贝克勒尔 C．汤姆逊 D．居里夫人","B
"
"155","原子质量单位u等于","A．12C的1/16 B．12C的1/12 C．16O的1/12 D．16O的1/16","B
"
"156","下列哪一组核素是同位素：","A．1H和23He B．18Ar和19K C．60m238Co和60Co D．23592U和92U","D
"
"157","半衰期T1/2和衰变常数λ的关系是","A．T1/2＝ln3/λ B．T1/2＝ln4/λ C．T1/2＝ln2/λ D．T1/2＝ln5/λ","C
"
"158","γ光子把全部能量转移给某个束缚电子，使之发射出去，而光子本身消失的过程叫做（）","A．电子对效应 B．康普顿效应 C．光电效应 D．穆斯堡尔效应","C
"
"159","下面哪一种不是β衰变的类型？","A．β－衰变 B．韧致辐射 C．β＋衰变 D．轨道电子俘获","B
"
"160","列探测器的工作介质中哪一项不是闪烁体：（）","A．NaI(Tl) B．CsI(Tl) C．BGO D．HPGe","C
"
"161","下列放射性核素，哪一种放射α粒子：（）","A．60Co B．137Cs C．14C D．241Am","D
"
"162","下列元素中哪一种对快中子的慢化能力最强：（）","A．氧 B．氢 C．氮 D．碳","B
"
"163","高速电子轰击靶物质时，靶原子的内层电子被电离而离开原子，外层电子进入内层轨道填补空位，多余的能量以辐射的形式释放，这种辐射光具有特定的能量，叫做：（）","A．β射线 B．内转换电子 C．特征X射线 D．韧致辐射","C
"
"164","可通过T(d,n)4He反应来产生（B）中子，这一能量的中子应用很广","A．2．5MeV B．14MeV C．10MeV D．5MeV","B
"
"165","可用于烟雾报警器、容易对人体造成内照射的放射源是（）","A．γ放射源 B．β放射源 C．α放射源 D．中子源","C
"
"166","可用作各种核仪表，如料位计，核子称，密度计等的放射源是（）","A．γ放射源 B．β放射源 C．α放射源 D．中子源","A
"
"167","在地质勘探和活化分析方面有广泛应用的放射源是（）","A．γ放射源 B．β放射源 C．α放射源 D．中子源","D
"
"168","在放射源治疗中，进行近距离表浅治疗一般使用（）","A．γ放射源 B．β放射源 C．α放射源 D．中子源","B
"
"169","下面哪一个不是核燃料循环的模式：（）","A．后处理模式 B．“一次通过”模式 C．“waitandsee”模式 D．前处理模式","D
"
"170","铀浓缩工厂的基本特点不包括以下哪一点：（）","A．工作介质为UF6 B．工艺系统的高度密封性和清洁度 C．工作介质为UF4 D．长期运行的安全性和可靠性","C
"
"171","核反应堆处于临界状态时，有效增殖系数为（）","A．K>1 B．K C．K=1 D．K=0","C
"
"172","不使用慢化剂的核反应堆是（）","A．重水堆 B．沸水堆 C．高温气冷堆 D．钠冷快堆","D
"
"173","世界范围内的平均年有效剂量约为（）","A．2．4mSv B．3mSv C．5mSv D．1mSv","A
"
"174","世界人口受到的人工辐射源的照射中，居于首位的是（）","A．大气层核实验 B．医疗照射 C．地下核试验 D．核能生产","B
"
"175","下列人体组织和器官中哪一种的辐射敏感性最低：（）","A．心脏 B．淋巴组织 C．肌肉组织 D．骨髓","C
"
"176","下列放射性核素，哪一组是原生放射性核素：（）","A．3H和14C B．228Ra和228Th C．32P和33P D．22Na和32Si","B
"
"177","国家环保总局规定，每座核电站向环境释放的放射性物质对公众中任何个人造成的有效剂量当量，每年应小于（）","A．0．25mSv B．2．4mSv C．1．0mSv D．0．5mSv","A
"
"178","当发生电子对效应时，入射光子的能量至少要大于（）","A．1．02MeV B．1．5MeV C．2MeV D．14MeV","A
"
"179","我国在2002年提出新建核电站运行的安全目标是（）","A．堆芯溶化概率为10-4/堆年，大量放射性释放概率为10-5/堆年 B．堆芯溶化概率为10-5/堆年，大量放射性释放概率为10-5/堆年 C．堆芯溶化概率为10-6/堆年，大量放射性释放概率为10-6/堆年 D．堆芯溶化概率为10-5/堆年，大量放射性释放概率为10-6/堆年","D
"
"180","对于相同厚度的下列物质，那种对1Mev能量的γ射线屏蔽效果好","A．水 B．水泥 C．铁 D．铅","D
"
"181","辐射致癌属于那种效应：","A．急性 B．遗传 C．确定性 D．随机性","D
"
"182","剂量率与点源距离的关系：","A．正比 B．反比 C．平方正比 D．平方反比","D
"
"183","在下述医疗照射中，每次检查的有效剂量最大的是哪种？（）","A．CT B．血管造影 C．介入治疗 D．胸部X射线透视","C
"
"184","在医学上X射线可用于透射的机制是","A．穿透能力强 B．电离能力强 C．射线能量大 D．不同组织的吸收不同","D
"
"185","下列仪器哪个用于放射性药物影像诊断：","A．γ照相机 B．X射线计算机断层扫描仪（CT） C．核子称 D．料位计","A
"
